1,8,8,5,10,15,20
2,8,8,8,13,18,23
3,8,8,10,15,20,25
4,8,8,10,15,20,25
5,8,8,20,35,50,65
6,8,8,25,35,50,65
7,8,8,20,30,40,50
8,8,8,20,30,40,50
9,8,8,10,15,20,30
10,8,8,30,40,55,75
11,8,8,30,40,55,85
12,8,8,40,55,75,105
13,8,8,30,40,55,85
14,8,8,40,55,75,105
15,8,8,20,30,40,50
16,8,8,20,30,40,50
17,8,8,25,35,50,65
18,8,8,25,35,50,65
19,8,8,25,35,50,65
20,8,8,50,65,85,115
21,8,8,50,65,85,115
22,8,8,70,85,100,180
23,8,8,70,85,100,180
24,8,8,70,85,100,180
25,8,8,70,85,100,180
26,8,8,70,85,100,180
27,8,8,70,85,100,180
28,8,8,70,85,100,180
29,8,8,70,85,100,180
30,8,8,120,180,300,600
